N,K,Time
3,230,0.57055
12,360,0.5123
4,290,0.52476
9,60,0.08047
5,310,0.43465
10,40,0.10125
10,360,0.25602
10,220,0.18566
4,60,0.03636
14,210,0.36154
19,220,0.81452
17,90,0.66314
16,360,0.55144
14,290,0.37771
19,220,0.90617
6,160,0.11428
12,200,0.29018
10,50,0.21655
12,80,0.23849
13,50,0.23329
15,140,0.38427
15,220,0.41551
12,190,0.23239
17,370,0.6504
6,40,0.02769
15,220,0.44203
16,240,0.54495
7,50,0.04279
11,140,0.16822
10,390,0.28046
10,140,0.13216
16,170,0.47536
12,80,0.3299
11,140,0.29852
6,40,0.04659
12,370,0.54017
16,300,0.90234
14,230,0.50336
3,240,0.78549
9,190,0.21757
6,180,0.1815
3,370,1.3155
9,260,0.27037
5,290,0.49669
10,160,0.14483
9,120,0.10986
10,350,0.36667
9,80,0.14387
15,140,0.47937
17,260,0.7004
8,350,0.26378
8,80,0.06732
15,110,0.49655
8,310,0.22576
12,280,0.32289
18,80,0.745
15,90,0.66343
8,140,0.15205
15,130,0.65961
8,250,0.19144
11,70,0.15168
11,100,0.15858
17,50,0.59417
19,220,0.80617
19,380,0.88808
19,380,0.88179
13,320,0.36292
4,20,0.00942
8,60,0.07679
9,210,0.15368
16,280,0.97355
3,390,1.64011
10,380,0.28464
4,360,0.79226
9,200,0.1466
7,60,0.04653
10,120,0.1281
13,290,0.31945
14,260,0.41548
13,70,0.25226
5,120,0.08496
8,190,0.13039
8,370,0.27581
13,320,0.3804
18,260,0.99476
19,390,1.77794
9,40,0.12801
7,250,0.25117
13,310,0.68667
9,110,0.18905
6,90,0.08666
10,60,0.19436
11,200,0.4045
14,70,0.5211
19,320,1.19971
4,180,0.23153
8,90,0.07978
11,210,0.3224
12,70,0.27368
19,390,1.45609
11,170,0.1958
16,100,0.70686
11,180,0.19983
13,350,0.46215
9,350,0.38103
18,90,0.71977
17,60,0.68529
18,310,0.80641
14,240,0.36538
15,40,0.39758
6,180,0.14009
17,200,0.87516
17,290,0.96645
15,190,0.51268
13,330,0.44673
15,390,0.82334
9,210,0.23604
13,300,0.5535
4,230,0.4295
6,340,0.388
9,310,0.26915
5,350,0.54848
4,260,0.44991
7,360,0.30807
4,250,0.40783
8,210,0.14085
9,70,0.08553
19,180,0.96962
5,70,0.03901
7,350,0.44523
6,360,0.56913
5,70,0.04175
16,200,0.59302
9,120,0.10562
5,200,0.20064
8,170,0.11302
10,210,0.17185
12,50,0.18058
16,20,0.44083
12,70,0.19751
4,300,0.57056
14,200,0.43445
15,150,0.42259
12,220,0.40414
3,190,0.44356
17,190,1.03682
5,150,0.17529
17,140,0.68271
19,350,1.1916
13,160,0.30313
15,390,0.83654
18,70,1.26651
12,230,0.31158
8,390,0.31062
15,70,0.46687
6,250,0.21753
11,190,0.19352
4,70,0.0439
13,310,0.33084
18,380,0.87952
11,170,0.18756
7,390,0.65154
16,80,0.80453
5,360,0.78094
14,130,0.56283
8,240,0.23236
13,220,0.46556
5,190,0.24859
9,30,0.12636
14,230,0.36483
15,390,0.56833
10,240,0.20956
19,360,1.55341
15,110,0.6572
14,240,0.38962
18,380,0.84538
9,380,0.30445
17,380,0.73486
19,120,0.86066
19,300,0.98818
12,140,0.21401
8,380,0.36756
5,60,0.03395
19,160,1.60001
14,180,0.54071
8,170,0.11699
7,40,0.03781
11,40,0.23325
11,210,0.27311
3,300,0.82437
9,150,0.11932
7,300,0.25923
14,20,0.40381
11,70,0.14805
13,150,0.39292
17,310,0.90566
5,300,0.42048
11,150,0.28143
13,300,0.54676
13,110,0.42129
19,250,0.99397
10,240,0.29026
7,200,0.1408
8,90,0.07372
4,340,0.82434
4,130,0.11286
6,330,0.3926
8,270,0.21134
14,110,0.44884
13,260,0.31321
18,340,1.38351
19,370,1.01812
19,120,1.20346
11,280,0.38282
13,110,0.36244
18,40,1.5615
11,140,0.31296
12,80,0.23104
7,50,0.0466
4,260,0.59961
5,100,0.0922
11,210,0.26833
10,200,0.26566
18,260,0.83756
4,60,0.03678
10,200,0.19401
7,120,0.08337
12,180,0.23909
16,320,0.57105
14,150,0.33664
15,150,0.4157
16,120,0.5218
13,20,0.23249
14,350,0.47258
15,50,0.64086
13,30,0.41426
11,310,0.33796
14,250,0.6051
12,240,0.29478
17,280,0.88809
5,300,0.4942
12,340,0.32074
9,290,0.21732
11,20,0.14075
3,160,0.25131
13,160,0.32212
18,200,0.76938
17,110,0.61694
9,270,0.18744
11,130,0.1717
17,120,0.61439
7,190,0.14717
16,20,0.45455
17,320,0.71707
18,100,0.67362
3,380,1.38582
10,180,0.15288
8,250,0.1768
3,290,0.76008
9,340,0.24132
10,360,0.26297
16,310,0.55847
8,50,0.09949
17,140,0.70891
17,320,0.78555
11,220,0.25402
13,380,0.38987
12,190,0.22633
8,310,0.22398
6,300,0.3147
9,270,0.19485
12,110,0.19475
11,40,0.135
15,110,0.41266
5,160,0.14099
6,270,0.25756
17,210,0.60323
6,260,0.24793
19,20,0.77316
14,50,0.28806
5,210,0.20679
9,120,0.10515
16,150,0.51645
8,20,0.04753
18,200,0.69971
7,240,0.18794
6,50,0.04094
12,340,0.45729
11,370,0.29781
18,300,0.9144
3,130,0.15946
17,240,0.85259
15,300,0.46538
14,60,0.39366
12,190,0.3903
6,110,0.18012
7,50,0.10358
6,270,0.40591
19,60,0.95078
8,240,0.23179
4,380,0.97549
18,130,0.7726
12,140,0.3325
17,280,0.62715
11,50,0.13444
8,340,0.25016
3,350,1.18794
8,20,0.04644
4,310,0.5938
17,280,0.68286
15,300,0.52982
7,340,0.28286
10,140,0.23098
5,390,0.62932
18,20,0.6914
12,20,0.17154
11,190,0.2112
6,280,0.31956
11,160,0.19245
11,170,0.31202
17,130,1.01874
11,60,0.2354
11,50,0.17477
17,270,0.82081
13,250,0.36887
3,350,1.25387
8,30,0.05023
3,180,0.31277
18,210,0.79179
18,340,0.86217
3,50,0.02755
11,300,0.33467
7,130,0.08841
16,310,0.56041
4,260,0.58624
19,200,0.98127
16,240,0.51657
7,220,0.16154
5,40,0.02337
10,340,0.31274
15,290,0.54071
15,170,0.48163
16,330,0.54377
12,240,0.23895
8,350,0.30817
13,160,0.32544
16,370,0.68767
12,160,0.2172
19,90,0.9218
13,180,0.36977
6,270,0.26785
19,100,0.95804
14,140,0.36846
9,150,0.1221
9,370,0.26567
19,260,0.96498
17,190,0.75061
5,60,0.05833
9,290,0.19905
17,350,0.94496
15,150,0.4176
17,150,0.74498
19,320,0.88865
10,320,0.22914
8,260,0.17734
3,30,0.01281
8,380,0.29025
17,360,0.73286
7,280,0.23386
10,260,0.2034
9,170,0.12662
11,90,0.18483
10,130,0.13613
14,250,0.37103
5,330,0.4947
3,370,1.36024
11,160,0.17376
18,20,0.67503
11,90,0.14731
6,160,0.11788
14,190,0.37499
12,40,0.22629
4,160,0.17568
16,200,0.55976
10,240,0.18256
11,380,0.31388
9,140,0.11153
5,390,0.74717
16,90,0.4645
6,370,0.4333
11,180,0.19035
17,260,0.68687
15,220,0.44159
5,100,0.06649
15,200,0.41492
18,40,0.8005
14,280,0.4271
15,60,0.42627
7,360,0.31197
7,250,0.24515
9,150,0.11794
7,350,0.30287
3,360,1.30918
6,180,0.17316
8,360,0.26875
18,260,0.90686
13,100,0.28202
4,310,0.62445
9,40,0.07526
5,40,0.02339
12,370,0.49904
14,100,0.5143
12,320,0.44965
19,140,1.03408
10,30,0.0994
18,360,1.12872
6,140,0.09919
14,140,0.61772
10,40,0.11295
8,230,0.16473
8,220,0.2686
17,240,1.20295
17,380,0.73792
9,300,0.21943
9,290,0.20555
5,330,0.5839
17,200,0.8824
14,50,0.36888
12,340,0.3041
3,70,0.04886
7,280,0.22457
16,120,0.50073
12,350,0.29648
4,200,0.27375
5,370,0.60845
14,210,0.35844
3,290,0.79617
10,30,0.09935
8,190,0.13022
4,120,0.10618
7,50,0.04218
6,170,0.13223
16,320,0.54676
10,350,0.24752
16,330,0.52431
10,260,0.19756
10,50,0.102
10,170,0.17123
9,80,0.08831
5,70,0.0414
19,370,1.019
11,20,0.16365
5,210,0.22077
3,90,0.09262
19,80,0.89222
18,390,1.20615
9,140,0.12271
7,220,0.23627
11,260,0.41177
16,280,0.87988
10,100,0.13302
19,170,0.94672
17,390,0.74918
7,240,0.17186
5,40,0.02296
12,50,0.20748
16,30,0.45587
18,190,0.7698
11,230,0.21463
15,150,0.47687
8,270,0.19183
5,90,0.06141
12,120,0.23955
8,340,0.26963
17,90,0.62911
7,80,0.0594
7,20,0.04097
12,260,0.26337
8,350,0.27489
10,250,0.19391
7,250,0.18346
13,40,0.26607
9,80,0.08732
18,40,0.74193
5,290,0.40946
5,120,0.09213
11,170,0.21701
9,220,0.20454
15,270,0.60772
18,130,0.83429
3,50,0.02887
9,250,0.18211
18,390,0.92245
15,380,0.55197
16,100,0.48899
11,340,0.45342
17,140,0.8514
12,40,0.1999
15,340,0.56876
14,250,0.40695
4,200,0.27297
5,150,0.15853
16,390,0.96403
4,120,0.10263
16,220,0.56978
14,180,0.48049
14,190,0.37455
9,240,0.17534
4,150,0.19795
5,320,0.46203
17,230,0.91421
12,240,0.45595
14,260,0.43157
11,340,0.25867
13,60,0.25504
3,210,0.40758
14,190,0.35281
12,330,0.32633
10,250,0.18953
7,380,0.41874
4,50,0.02704
7,30,0.0346
16,80,0.46827
19,90,0.93989
18,110,0.77468
14,200,0.41002
18,250,0.75665
10,250,0.22641
18,200,0.73723
5,20,0.01358
9,50,0.08023
