K,minimum N,Time
40,4,0.0228316
40,3,0.0199736
40,4,0.0197852
40,3,0.019044
40,3,0.0195108
50,3,0.0297344
50,4,0.026748
50,4,0.026616
50,4,0.0269728
50,4,0.0271104
60,3,0.0386568
60,4,0.0352484
60,4,0.0341696
60,4,0.0346324
60,4,0.0338156
70,5,0.043226
70,5,0.0428956
70,5,0.0434476
70,4,0.0430196
70,5,0.0429484
80,5,0.051278
80,5,0.0517944
80,5,0.0512588
80,5,0.051916
80,6,0.0515344
90,6,0.0620896
90,6,0.0582972
90,6,0.0588084
90,5,0.0600084
90,5,0.059368
100,5,0.070918
100,7,0.0692956
100,6,0.0657076
100,5,0.0699976
100,6,0.0647696
110,6,0.074938
110,7,0.0755316
110,6,0.0748244
110,6,0.0743932
110,7,0.0763484
120,6,0.0828644
120,6,0.0828676
120,7,0.0817056
120,5,0.0902692
120,7,0.0833668
130,6,0.0922464
130,7,0.0892192
130,7,0.0909304
130,7,0.0889432
130,7,0.0955172
140,7,0.0959072
140,6,0.103383
140,7,0.0965964
140,7,0.0975016
140,7,0.0985524
150,7,0.108692
150,7,0.10754
150,6,0.113404
150,7,0.10997
150,7,0.106203
160,7,0.117726
160,7,0.114532
160,7,0.113316
160,7,0.112396
160,7,0.115598
170,8,0.124317
170,8,0.127352
170,8,0.122164
170,7,0.127066
170,8,0.123773
180,8,0.129829
180,8,0.134113
180,7,0.138296
180,7,0.128758
180,8,0.130096
190,8,0.138015
190,8,0.138172
190,8,0.137066
190,7,0.150779
190,8,0.144562
200,7,0.155908
200,8,0.144784
200,8,0.14547
200,8,0.148318
200,8,0.144116
210,7,0.164226
210,7,0.175695
210,8,0.151292
210,8,0.155995
210,8,0.153336
220,8,0.162863
220,8,0.161594
220,9,0.186306
220,8,0.171046
220,7,0.167124
230,8,0.173306
230,7,0.186807
230,8,0.173853
230,8,0.1738
230,9,0.183705
240,7,0.203151
240,8,0.175652
240,8,0.184555
240,8,0.179387
240,8,0.178467
250,8,0.189978
250,8,0.186216
250,8,0.193749
250,8,0.183711
250,8,0.210039
260,8,0.198404
260,9,0.199583
260,8,0.197996
260,8,0.200317
260,9,0.202494
270,8,0.208824
270,9,0.218164
270,8,0.217101
270,8,0.212304
270,8,0.206988
280,8,0.225613
280,8,0.216576
280,8,0.217543
280,8,0.216102
280,8,0.215984
290,8,0.2283
290,9,0.230828
290,9,0.227988
290,9,0.229777
290,8,0.228642
300,8,0.234359
300,8,0.229283
300,8,0.231139
300,8,0.230315
300,8,0.238624
310,8,0.245905
310,8,0.238166
310,8,0.240387
310,9,0.244552
310,9,0.242489
320,8,0.254722
320,9,0.248024
320,10,0.258122
320,9,0.248593
320,8,0.249474
330,9,0.259788
330,8,0.259098
330,9,0.261797
330,9,0.258307
330,9,0.257787
340,8,0.267046
340,8,0.268947
340,9,0.280537
340,9,0.271044
340,9,0.269539
350,9,0.277087
350,10,0.283836
350,9,0.290164
350,9,0.278329
350,8,0.28998
360,9,0.287875
360,9,0.290981
360,9,0.297444
360,10,0.291791
360,9,0.285672
370,10,0.30021
370,9,0.298274
370,9,0.306082
370,8,0.299675
370,9,0.301092
380,9,0.306429
380,10,0.35087
380,9,0.329168
380,9,0.325082
380,10,0.305706
390,8,0.323829
390,9,0.312844
390,9,0.320122
390,8,0.322253
390,9,0.323614
400,9,0.323823
400,10,0.321634
400,10,0.318097
400,9,0.326735
400,9,0.321798
410,9,0.355813
410,9,0.33431
410,10,0.325892
410,10,0.341673
410,10,0.348203
420,8,0.38012
420,9,0.340239
420,9,0.36432
420,10,0.341276
420,10,0.366546
430,9,0.350578
430,10,0.347725
430,10,0.350272
430,10,0.354432
430,9,0.346005
440,10,0.354759
440,9,0.36671
440,10,0.369367
440,8,0.402656
440,10,0.368832
450,10,0.375165
450,10,0.370271
450,10,0.360324
450,9,0.383046
450,10,0.388022
460,10,0.40758
460,10,0.383311
460,10,0.382285
460,9,0.387664
460,10,0.373763
470,10,0.38674
470,10,0.388477
470,10,0.38752
470,10,0.415251
470,10,0.395592
480,10,0.402035
480,10,0.434338
480,10,0.41036
480,9,0.399161
480,10,0.393489
490,10,0.408575
490,10,0.399892
490,10,0.401494
490,10,0.410095
490,9,0.42132
500,10,0.416564
500,10,0.415435
500,9,0.437924
500,10,0.417902
500,9,0.419538
